location,city,country,utc,local,parameter,value,unit,attribution
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T22:00:00.000Z,2016-06-15T19:00:00-03:00,pm25,30,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T22:00:00.000Z,2016-06-15T19:00:00-03:00,no2,109,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T22:00:00.000Z,2016-06-15T19:00:00-03:00,o3,0,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T21:00:00.000Z,2016-06-15T18:00:00-03:00,no2,81,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T21:00:00.000Z,2016-06-15T18:00:00-03:00,pm25,11,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T21:00:00.000Z,2016-06-15T18:00:00-03:00,o3,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T20:00:00.000Z,2016-06-15T17:00:00-03:00,pm25,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T20:00:00.000Z,2016-06-15T17:00:00-03:00,o3,55,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T20:00:00.000Z,2016-06-15T17:00:00-03:00,no2,34,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T19:00:00.000Z,2016-06-15T16:00:00-03:00,o3,67,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T19:00:00.000Z,2016-06-15T16:00:00-03:00,no2,21,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-15T19:00:00.000Z,2016-06-15T16:00:00-03:00,pm25,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
